productID,productName,visitDate,storeID
P004,Product K,4/3/2022,S004
P005,Product E,1/12/2022,S002
P001,Product A,12/3/2022,S001
P003,Product J,11/1/2022,S001
P004,Product K,7/27/2022,S008
P004,Product K,12/31/2022,S005
P001,Product A,11/4/2022,S003
P003,Product J,10/18/2022,S008
P005,Product E,3/29/2022,S003
P003,Product J,4/17/2022,S003
P001,Product A,7/20/2022,S005
P002,Product B,1/12/2023,S004
P003,Product J,9/10/2022,S002
P003,Product J,2/14/2023,S003
P005,Product E,11/13/2022,S009
P005,Product E,2/22/2023,S008
P002,Product B,1/4/2022,S002
P004,Product K,5/5/2022,S008
P003,Product J,4/27/2022,S005
P005,Product E,4/1/2022,S002
P005,Product E,3/21/2022,S006
P001,Product A,5/22/2023,S001
P004,Product K,1/21/2022,S001
P004,Product K,5/28/2022,S004
P005,Product E,5/25/2022,S007
P005,Product E,1/23/2023,S008
P002,Product B,5/8/2023,S001
P001,Product A,6/18/2022,S007
P005,Product E,5/23/2022,S001
P003,Product J,2/10/2022,S006
P005,Product E,4/17/2023,S009
P004,Product K,3/21/2023,S004
P002,Product B,6/28/2022,S002
P001,Product A,7/22/2022,S008
P004,Product K,2/26/2023,S002
P003,Product J,5/28/2023,S008
P005,Product E,10/29/2022,S001
P003,Product J,4/28/2022,S001
P005,Product E,7/18/2022,S001
P002,Product B,9/14/2022,S008
P002,Product B,9/5/2022,S003
P001,Product A,12/2/2022,S002
P004,Product K,10/22/2022,S007
P003,Product J,2/24/2023,S003
P001,Product A,1/17/2022,S005
P004,Product K,4/18/2022,S004
P003,Product J,3/8/2022,S008
P004,Product K,6/17/2023,S002
P001,Product A,1/28/2023,S007
P004,Product K,5/30/2023,S007
P004,Product K,2/23/2022,S006
P001,Product A,3/5/2022,S008
P004,Product K,6/9/2023,S009
P003,Product J,3/30/2023,S008
P001,Product A,2/14/2023,S003
P002,Product B,2/25/2023,S001
P005,Product E,5/25/2022,S008
P005,Product E,1/6/2022,S009
P003,Product J,12/16/2022,S001
P003,Product J,10/2/2022,S001
P004,Product K,3/19/2023,S004
P004,Product K,12/13/2022,S009
P005,Product E,8/30/2022,S004
P004,Product K,5/16/2023,S007
P001,Product A,11/28/2022,S005
P001,Product A,2/12/2023,S003
P001,Product A,8/21/2022,S006
P001,Product A,10/21/2022,S006
P005,Product E,6/25/2022,S006
P001,Product A,9/15/2022,S001
P002,Product B,11/13/2022,S007
P004,Product K,1/20/2022,S006
P001,Product A,10/21/2022,S005
P002,Product B,10/21/2022,S008
P005,Product E,7/16/2022,S003
P004,Product K,2/4/2022,S007
P001,Product A,3/25/2022,S006
P002,Product B,10/10/2022,S006
P005,Product E,12/29/2022,S008
P005,Product E,2/24/2022,S002
P002,Product B,11/29/2022,S002
P002,Product B,4/16/2023,S001
P002,Product B,7/6/2022,S009
P003,Product J,3/31/2022,S003
P001,Product A,11/29/2022,S008
P004,Product K,1/26/2023,S002
P003,Product J,3/7/2022,S005
P001,Product A,9/21/2022,S005
P005,Product E,12/10/2022,S004
P003,Product J,10/30/2022,S007
P002,Product B,5/3/2023,S001
P003,Product J,5/26/2022,S006
P003,Product J,9/19/2022,S004
P004,Product K,5/9/2023,S004
P003,Product J,9/19/2022,S006
P001,Product A,6/23/2022,S002
P003,Product J,12/16/2022,S004
P002,Product B,5/29/2023,S001
P001,Product A,1/5/2023,S008
P002,Product B,3/15/2022,S008
P005,Product E,6/28/2022,S002
P005,Product E,2/12/2022,S001
P003,Product J,5/5/2022,S006
P004,Product K,4/4/2023,S001
P001,Product A,2/11/2023,S009
P004,Product K,3/17/2023,S008
P002,Product B,5/4/2022,S005
P001,Product A,4/2/2023,S001
P003,Product J,6/30/2022,S005
P004,Product K,7/1/2022,S007
P004,Product K,2/6/2022,S004
P002,Product B,3/23/2023,S006
